followers_count,friends_count,Bot_or_Not
17,16,1
7151,94,0
426854,8430,0
143229,4671,0
13207,8415,0
7,304,1
0,0,1
2,50,1
18,0,1
15,0,1
111533,10319,0
0,0,1
5408,1526,0
0,0,0
17,0,0
1517202,46,0
824,1,1
1095,1661,0
4,0,1
36,34,1
23,38,1
7,0,1
510,539,0
12,0,1
210,919,0
767,747,0
47,420,0
7,0,1
3017,823,0
69,0,0
5,103,1
74,0,1
525,1659,0
371,199,0
23,0,1
5,57,1
26,0,1
909,215,0
312938,5982,0
1,0,1
200894,198748,0
8,8,0
19,27,1
43439,997,0
22,43,1
531,340,0
12841,893,0
193258,1318,0
35,402,0
105,398,0
11070,4893,0
998539,466,0
143511,9797,0
65,129,0
0,0,0
3394,3057,0
236,0,1
1485,468,0
551,371,0
963762,0,0
5064261,107,0
1084712,155,0
3,20,1
13,36,1
9,0,1
29,99,0
363,2213,1
16,22,1
6,110,1
4247,799,0
162,2,1
92194,614,0
3562,927,1
1,0,0
31,36,0
285,903,0
12,0,1
185574,11920,1
330,1321,0
12207,1365,0
50,0,1
2184,2626,0
4,15,1
83,296,0
1530,772,0
63,232,0
0,58,1
1635,153,0
0,0,1
888,840,0
3668,3696,0
6,275,1
59,503,0
0,0,1
1621,2137,0
3000506,118,0
29,0,1
7,32,1
112,122,0
32,163,1
12,48,1
28,122,1
7466,1303,0
4,699,0
345,1748,1
38962,827,0
233377,100,0
189,1,1
172,46,1
363,1278,1
3807466,187,0
111,0,0
66,134,1
221,810,0
127,187,0
1248,1337,0
10374,1330,0
2,15,1
70,176,0
6,0,1
259,271,0
4904,1185,0
139,16,0
33,108,1
18,0,1
0,0,0
922554,2863,0
212,82,0
203326,5,0
214,623,1
29,0,1
3,39,1
23,649,1
209936,316,0
1055,259,0
916,74,0
1054613,17,0
500,2575,0
961265,597,0
12,25,1
496,362,0
231,0,0
203,117,0
4,0,1
2,0,1
297,247,0
5323,900,0
11,257,1
1478,1928,0
78,177,1
3427,168,0
7992,5040,0
756,1742,0
9173,252,0
1,0,1
409,390,0
147,243,0
244,0,0
8,34,1
1238458,2990,0
0,0,0
0,0,0
519,1946,0
3994,795,1
460305,271,0
29490,195,0
92243,1241,0
104765,5386,0
1746891,473,0
78,30,1
2562588,83,0
825265,473,0
710,150,0
1209760,371,0
2707,20,0
63,156,0
110,681,0
5952,2466,1
17773,12568,0
30521,1406,0
7,0,1
6666,1831,0
51,297,0
187,0,1
53808,98,0
334820,529,0
11,139,1
4364796,68,0
404,0,1
88005,353,0
371,355,0
115346,140,0
16567,1355,0
69132,8250,1
6243,2461,0
68,76,0
405322,3639,0
2434326,115,0
612312,325,0
384834,116,0
3622365,211,0
4890,5181,1
193,878,0
975538,1009,0
1931,91,0
2950101,4267,0
10,0,1
5502616,187,0
97,426,0
41,166,0
1,0,1
178,339,0
961,535,0
60,128,0
2841984,798,0
1382707,517,0
280,723,0
644,951,1
25,1,1
27873,119,0
328,895,1
479,1146,0
26,31,0
6365,455,0
349,449,0
26,0,1
29455,619,0
84,267,0
153,347,0
353,244,0
15226,103,0
15,0,1
138,776,0
55300,106,0
523,1286,0
290,467,0
5197,1151,0
383918,363145,0
74490,20,0
168,175,1
979,451,0
38111,1568,0
1517324,478,1
1,4,1
54361,48819,0
7,56,1
3,25,1
22,2,1
10,0,1
288,147,1
61,0,1
13,0,1
25,1005,0
12,0,1
2626554,1282,0
54667,360,0
7,8,1
22,0,1
138931,282,1
41010,40012,0
397,305,0
0,0,1
357,281,0
6,0,1
1,0,1
111,365,1
52,81,1
2666,1269,0
399,899,0
521883,2188,0
1077,638,1
1711,1184,0
947466,247,0
117,772,1
11,101,0
11825,12686,0
107959,7,0
25798,216,0
65333,65,0
1327296,550,0
20,87,1
7,4,1
1,0,1
31,57,1
8,10,1
689,125,0
14590,1008,0
11043,24,0
169640,73709,0
45,0,1
122472,1078,0
154,173,0
113,54,1
18293,15517,0
260,0,1
706,386,0
476,0,1
38,8,0
453,467,0
1105388,284,0
369,186,0
405,1249,0
17701335,171,0
643,507,0
380,388,0
29,0,1
474,1430,0
5,35,1
1048,3953,0
11428,10192,0
35,0,1
1555915,874,0
3,0,1
50,449,0
2192,2261,0
6776,7200,0
41,0,0
18979,366,0
839,581,1
50,279,1
2252175,509,0
7,116,1
340108,139,0
21,26,0
878,717,0
537,2049,0
0,16,1
21,271,1
10,18,1
3057,2098,1
5,0,1
125,633,0
936,630,0
12215,2081,0
12,0,1
593,4813,1
38,506,1
28014,13186,0
1163626,625,0
986630,459,0
79,450,1
401,0,0
1599,3609,0
284,629,0
40,91,0
147,121,1
830,276,0
25082,3565,0
158,185,0
1,0,0
7047,5612,1
5438,721,0
29,102,0
22,88,0
58,150,0
16,0,1
279943,0,0
31,94,1
5919755,30,0
1544,4985,0
262762,1979,0
24,44,0
1878,2104,0
72,99,0
9,2,1
15,0,1
0,0,1
208,290,0
7937,3387,0
622,277,0
1091803,12,0
2110,3603,0
9,44,1
1,0,0
1540305,0,0
108,114,0
134511,69,1
611,362,0
0,0,0
586,1743,1
3026,1976,0
12,83,0
100074,385,0
113968,616,0
131,140,0
34496,71,0
100,253,1
93912,59748,1
402,248,0
11,440,1
591,108,0
1063005,871,0
3,33,0
14131,416,0
337,241,0
9425,744,0
49,159,0
78,0,0
8108,8199,1
758,840,0
3285430,139,0
743,97,0
216,0,1
177,263,0
3111345,381,0
6,30,1
248,0,1
142272,126,0
35,0,1
90,110,1
205507,227713,0
20,94,1
2085,815,0
6,0,1
13,0,1
100,373,0
884,629,0
932,767,1
3904,4408,0
668508,525,0
4042,1660,0
487,867,0
5945,2025,0
440,363,0
453,1285,0
1647,671,0
4,0,1
1934577,496,0
1959,826,0
4,0,1
89,232,0
79,203,1
10,0,1
5,12,1
12549,572,0
93,370,0
67,228,1
391,1564,0
145,340,1
782,1407,0
22,48,1
567,1247,0
342,346,0
727,1106,1
213862,189083,0
136,166,1
55,506,0
42,113,0
11133068,207,0
215,461,0
978,818,0
13,0,1
20,0,1
135,413,0
686,1640,0
52,91,0
4153,148,0
5883,5002,0
4362,2053,0
3,2,1
3591,4511,0
954,782,0
0,0,1
14,175,1
26,35,1
164,111,0
19,50,1
1304067,0,0
3782,3422,0
189,0,1
42,289,1
0,0,0
66,101,0
455,1874,0
593,220,0
106,372,0
474,225,0
119,192,0
7,15,1
14,267,1
1222,961,0
57,311,0
16,114,1
238,220,0
299,272,0
1,0,0
236,974,0
58,260,1
4534,1981,0
2258,148,1
849,2112,1
0,35,1
72,505,1
1753,1446,0
98,939,1
444,300,0
917820,450,0
20847,2026,0
108,188,1
3,0,1
58,188,0
65,175,0
499,381,0
21320,5071,0
3258,529,0
331265,4368,0
572018,281,0
610,1446,0
763196,478,0
4565342,3853,0
0,0,1
7,0,1
5,0,1
46423,23271,0
127,112,0
8,7,1
397,1657,0
8,0,1
159,3,1
346943,82,0
128971,396,0
3109,3817,0
5,0,1
2376135,5,0
1129564,182,0
15,0,1
289,0,1
37,0,1
75915,586,0
2674,7039,0
12323,147,1
211,429,0
656,501,0
320,1002,1
2111749,537,0
115,192,0
659,732,0
1569537,1025,0
2783,1890,0
275,297,1
70,370,1
